budget;company;country;director;genre;gross;name;rating;released;runtime;score;star;votes;writer;year
70000000;Focus Features;USA;Ethan Coen;Comedy;91905250;A Serious Man;R;40123;106;70;Michael Stuhlbarg;110208;Joel Coen;2009
1000000000;Columbia Pictures;USA;Phil Lord;Animation;1248702750;Cloudy with a Chance of Meatballs;PG;40074;90;70;Anna Faris;167156;Phil Lord;2009
250000000;BBC Films;USA;Grant Heslov;Comedy;324161090;The Men Who Stare at Goats;R;40123;94;62;Ewan McGregor;114722;Jon Ronson;2009
60000000;Fox Atomic;USA;Zach Cregger;Comedy;45427750;Miss March;R;39885;90;50;Zach Cregger;19111;Zach Cregger;2009
0;Miramax;USA;Greg Mottola;Comedy;160253940;Adventureland;R;39906;100;68;Jesse Eisenberg;139072;Greg Mottola;2009
160000000;Warner Bros.;USA;Richard Kelly;Drama;150456760;The Box;PG-13;40123;115;56;Cameron Diaz;80381;Richard Kelly;2009
60000000;LD Entertainment;USA;Marcus Dunstan;Horror;77063940;The Collector;R;40025;90;64;Josh Stewart;47291;Patrick Melton;2009
600000000;Warner Bros.;USA;Clint Eastwood;Biography;374913640;Invictus;PG-13;40158;134;74;Morgan Freeman;132427;Anthony Peckham;2009
0;Screen Gems;USA;Nelson McCormick;Crime;290625610;The Stepfather;PG-13;40102;101;56;Penn Badgley;25186;J.S. Cardone;2009
1500000000;Twentieth Century Fox Film Corporation;USA;Shawn Levy;Adventure;1772437210;Night at the Museum: Battle of the Smithsonian;PG;39955;105;59;Ben Stiller;143636;Robert Ben Garant;2009
1000000000;Universal Pictures;USA;Brad Silberling;Adventure;494383700;Land of the Lost;PG-13;39969;102;54;Will Ferrell;54864;Chris Henchy;2009
260000000;Paramount Vantage;USA;Christian Alvart;Horror;132484770;Case 39;R;40452;109;62;Renée Zellweger;65254;Ray Wright;2009
850000000;Universal Pictures;USA;Nancy Meyers;Comedy;1127353750;It's Complicated;R;40172;100;66;Meryl Streep;74245;Nancy Meyers;2009
1000000000;Warner Bros.;Germany;Spike Jonze;Adventure;772334670;Donde viven los monstruos;PG;40102;101;68;Max Records;91833;Spike Jonze;2009
200000000;Lionsgate;USA;Mark Neveldine;Action;136302260;Crank: High Voltage;R;39920;96;62;Jason Statham;121567;Mark Neveldine;2009
70000000;Fox Searchlight Pictures;USA;Scott Cooper;Drama;394624380;Crazy Heart;R;40214;112;73;Jeff Bridges;73161;Scott Cooper;2009
160000000;Rogue Pictures;USA;David S. Goyer;Drama;426704100;The Unborn;PG-13;39822;88;48;Odette Annable;44283;David S. Goyer;2009
350000000;DreamWorks;Germany;Thor Freudenthal;Comedy;730344600;Hotel para perros;PG;39829;100;54;Emma Roberts;17784;Jeff Lowell;2009
300000000;It's a Laugh Productions;USA;Peter Chelsom;Comedy;795668710;Hannah Montana: The Movie;G;39913;102;43;Miley Cyrus;34118;Dan Berendsen;2009
0;Yellow Bird;Sweden;Daniel Alfredson;Crime;90817820;The Girl Who Played with Fire;R;40417;129;72;Noomi Rapace;78771;Jonas Frykberg;2009
700000000;Mod Producciones;Spain;Alejandro Amenábar;Adventure;6178400;Agora;R;40431;127;72;Rachel Weisz;56850;Alejandro Amenábar;2009
200000000;Screen Gems;USA;Steve Shill;Drama;682616440;Obsessed;PG-13;39927;108;49;Beyoncé Knowles;24499;David Loughery;2009
0;Universal Pictures;USA;Kevin Macdonald;Drama;370179550;State of Play;PG-13;39920;127;71;Russell Crowe;118835;Matthew Michael Carnahan;2009
0;Barbarian Films;USA;David Mackenzie;Comedy;2495900;Spread;R;40081;97;59;Ashton Kutcher;34153;Jason Hall;2009
420000000;Universal Pictures;USA;Larry Charles;Comedy;600545300;Brüno;R;40004;81;58;Sacha Baron Cohen;125840;Sacha Baron Cohen;2009
100000000;Universal Pictures;USA;Olatunde Osunsanmi;Mystery;254644800;The Fourth Kind;PG-13;40123;98;59;Milla Jovovich;66304;Olatunde Osunsanmi;2009
0;Lionsgate;USA;Peter Cornwell;Drama;553895160;The Haunting in Connecticut;PG-13;39899;92;59;Virginia Madsen;53262;Adam Simon;2009
